frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,76,172.19.0.4,172.19.0.5,3,1,a0,3933,1
0.000075000,66,172.19.0.5,172.19.0.4,,,,,
0.000265000,76,172.19.0.5,172.19.0.6,3,1,a0,3933,1
0.000455000,66,172.19.0.6,172.19.0.5,,,,,
0.000538000,70,172.19.0.5,172.19.0.4,4,,,,1
0.000712000,66,172.19.0.4,172.19.0.5,,,,,
0.001814000,70,172.19.0.6,172.19.0.5,4,,,,1
0.001839000,66,172.19.0.5,172.19.0.6,,,,,
1.001144000,76,172.19.0.4,172.19.0.5,3,1,a0,3433,2
1.001265000,66,172.19.0.5,172.19.0.4,,,,,
1.001494000,76,172.19.0.5,172.19.0.6,3,1,a0,3433,2
1.001652000,66,172.19.0.6,172.19.0.5,,,,,
1.001715000,70,172.19.0.5,172.19.0.4,4,,,,2
1.001903000,66,172.19.0.4,172.19.0.5,,,,,
1.002674000,70,172.19.0.6,172.19.0.5,4,,,,2
1.002708000,66,172.19.0.5,172.19.0.6,,,,,
2.006369000,76,172.19.0.4,172.19.0.5,3,1,a0,3133,3
2.006467000,66,172.19.0.5,172.19.0.4,,,,,
2.007628000,76,172.19.0.5,172.19.0.6,3,1,a0,3133,3
2.007809000,66,172.19.0.6,172.19.0.5,,,,,
2.007893000,70,172.19.0.5,172.19.0.4,4,,,,3
2.008085000,66,172.19.0.4,172.19.0.5,,,,,
2.008952000,70,172.19.0.6,172.19.0.5,4,,,,3
2.008976000,66,172.19.0.5,172.19.0.6,,,,,
3.007347000,76,172.19.0.4,172.19.0.5,3,1,a0,3834,4
3.008378000,76,172.19.0.5,172.19.0.6,3,1,a0,3834,4
3.008504000,70,172.19.0.5,172.19.0.4,4,,,,4
3.008645000,66,172.19.0.4,172.19.0.5,,,,,
3.009779000,70,172.19.0.6,172.19.0.5,4,,,,4
3.009802000,66,172.19.0.5,172.19.0.6,,,,,
4.002644000,76,172.19.0.4,172.19.0.5,3,1,a0,3631,5
4.003036000,76,172.19.0.5,172.19.0.6,3,1,a0,3631,5
4.003156000,70,172.19.0.5,172.19.0.4,4,,,,5
4.003271000,66,172.19.0.4,172.19.0.5,,,,,
4.003678000,70,172.19.0.6,172.19.0.5,4,,,,5
4.003702000,66,172.19.0.5,172.19.0.6,,,,,
5.003811000,76,172.19.0.4,172.19.0.5,3,1,a0,3239,6
5.004206000,76,172.19.0.5,172.19.0.6,3,1,a0,3239,6
5.004312000,70,172.19.0.5,172.19.0.4,4,,,,6
5.004427000,66,172.19.0.4,172.19.0.5,,,,,
5.004748000,70,172.19.0.6,172.19.0.5,4,,,,6
5.004776000,66,172.19.0.5,172.19.0.6,,,,,
6.004437000,76,172.19.0.4,172.19.0.5,3,1,a0,3732,7
6.004999000,76,172.19.0.5,172.19.0.6,3,1,a0,3732,7
6.005147000,70,172.19.0.5,172.19.0.4,4,,,,7
6.005231000,66,172.19.0.4,172.19.0.5,,,,,
6.005620000,70,172.19.0.6,172.19.0.5,4,,,,7
6.005645000,66,172.19.0.5,172.19.0.6,,,,,
7.005171000,76,172.19.0.4,172.19.0.5,3,1,a0,3435,8
7.005613000,76,172.19.0.5,172.19.0.6,3,1,a0,3435,8
7.005829000,70,172.19.0.5,172.19.0.4,4,,,,8
7.006006000,66,172.19.0.4,172.19.0.5,,,,,
7.006805000,70,172.19.0.6,172.19.0.5,4,,,,8
7.006833000,66,172.19.0.5,172.19.0.6,,,,,
8.006229000,76,172.19.0.4,172.19.0.5,3,1,a0,3337,9
8.006525000,76,172.19.0.5,172.19.0.6,3,1,a0,3337,9
8.006670000,70,172.19.0.5,172.19.0.4,4,,,,9
8.006775000,66,172.19.0.4,172.19.0.5,,,,,
8.006963000,70,172.19.0.6,172.19.0.5,4,,,,9
8.006985000,66,172.19.0.5,172.19.0.6,,,,,
8.194444000,221,,,,,,,
9.007394000,75,172.19.0.4,172.19.0.5,3,1,a0,37,10
9.008245000,75,172.19.0.5,172.19.0.6,3,1,a0,37,10
9.008382000,70,172.19.0.5,172.19.0.4,4,,,,10
9.008470000,66,172.19.0.4,172.19.0.5,,,,,
