"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.19.0.10","172.19.0.8","TCP","74","46298  >  8088 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4244204424 TSecr=0 WS=128"
"2","0.000244","172.19.0.8","172.19.0.10","TCP","74","8088  >  46298 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2758700522 TSecr=4244204424 WS=128"
"3","0.000317","172.19.0.10","172.19.0.8","TCP","66","46298  >  8088 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4244204425 TSecr=2758700522"
"4","0.000699","172.19.0.10","172.19.0.8","TCP","103","46298  >  8088 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=4244204425 TSecr=2758700522"
"5","0.000726","172.19.0.8","172.19.0.10","TCP","66","8088  >  46298 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=2758700522 TSecr=4244204425"
"6","0.018928","172.19.0.8","172.19.0.10","TCP","70","8088  >  46298 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=4 TSval=2758700541 TSecr=4244204425 [TCP segment of a reassembled PDU]"
"7","0.019040","172.19.0.10","172.19.0.8","TCP","66","46298  >  8088 [ACK] Seq=38 Ack=5 Win=64256 Len=0 TSval=4244204444 TSecr=2758700541"
"8","0.019338","172.19.0.10","172.19.0.8","TCP","80","46298  >  8088 [PSH, ACK] Seq=38 Ack=5 Win=64256 Len=14 TSval=4244204444 TSecr=2758700541"
"9","0.019362","172.19.0.8","172.19.0.10","TCP","66","8088  >  46298 [ACK] Seq=5 Ack=52 Win=65152 Len=0 TSval=2758700541 TSecr=4244204444"
"10","0.019877","172.19.0.8","172.19.0.7","TCP","80","56716  >  8088 [PSH, ACK] Seq=1 Ack=1 Win=502 Len=14 TSval=2463236738 TSecr=2801550400"
"11","0.020037","172.19.0.8","172.19.0.10","TCP","71","8088  >  46298 [PSH, ACK] Seq=5 Ack=52 Win=65152 Len=5 TSval=2758700542 TSecr=4244204444 [TCP segment of a reassembled PDU]"
"12","0.020198","172.19.0.10","172.19.0.8","TCP","66","46298  >  8088 [ACK] Seq=52 Ack=10 Win=64256 Len=0 TSval=4244204445 TSecr=2758700542"
