"No.","Time","Source","Destination","Protocol","Length","Info"
"106","17.473210","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=75 Ack=245 Win=502 Len=4 TSval=2463254212 TSecr=2801582520 [TCP segment of a reassembled PDU]"
"107","17.473265","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=245 Ack=79 Win=509 Len=0 TSval=2801582521 TSecr=2463254212"
"108","18.471668","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=245 Ack=79 Win=509 Len=15 TSval=1216072377 TSecr=2398531978"
"109","18.472191","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=245 Ack=79 Win=509 Len=15 TSval=2801583520 TSecr=2463254212"
"110","18.472388","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=79 Ack=260 Win=502 Len=4 TSval=2398532978 TSecr=1216072377 [TCP segment of a reassembled PDU]"
"111","18.472487","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=260 Ack=83 Win=509 Len=0 TSval=1216072378 TSecr=2398532978"
"112","18.473136","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=79 Ack=260 Win=502 Len=4 TSval=2463255212 TSecr=2801583520 [TCP segment of a reassembled PDU]"
"113","18.473158","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=260 Ack=83 Win=509 Len=0 TSval=2801583521 TSecr=2463255212"
"114","19.474273","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=260 Ack=83 Win=509 Len=15 TSval=1216073380 TSecr=2398532978"
"115","19.474521","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=260 Ack=83 Win=509 Len=15 TSval=2801584522 TSecr=2463255212"
"116","19.474641","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=83 Ack=275 Win=502 Len=4 TSval=2398533980 TSecr=1216073380 [TCP segment of a reassembled PDU]"
"117","19.474708","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=275 Ack=87 Win=509 Len=0 TSval=1216073380 TSecr=2398533980"
"118","19.475195","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=83 Ack=275 Win=502 Len=4 TSval=2463256214 TSecr=2801584522 [TCP segment of a reassembled PDU]"
"119","19.475226","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=275 Ack=87 Win=509 Len=0 TSval=2801584523 TSecr=2463256214"
"120","20.475091","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=275 Ack=87 Win=509 Len=15 TSval=1216074381 TSecr=2398533980"
"121","20.475649","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=275 Ack=87 Win=509 Len=15 TSval=2801585523 TSecr=2463256214"
"122","20.475802","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=87 Ack=290 Win=502 Len=4 TSval=2398534981 TSecr=1216074381 [TCP segment of a reassembled PDU]"
"123","20.475915","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=290 Ack=91 Win=509 Len=0 TSval=1216074381 TSecr=2398534981"
"124","20.476156","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=87 Ack=290 Win=502 Len=4 TSval=2463257215 TSecr=2801585523 [TCP segment of a reassembled PDU]"
"125","20.476193","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=290 Ack=91 Win=509 Len=0 TSval=2801585524 TSecr=2463257215"
"126","21.477611","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=290 Ack=91 Win=509 Len=15 TSval=1216075383 TSecr=2398534981"
"127","21.477942","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=290 Ack=91 Win=509 Len=15 TSval=2801586525 TSecr=2463257215"
"128","21.478078","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=91 Ack=305 Win=502 Len=4 TSval=2398535984 TSecr=1216075383 [TCP segment of a reassembled PDU]"
"129","21.478268","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=305 Ack=95 Win=509 Len=0 TSval=1216075384 TSecr=2398535984"
"130","21.478798","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=91 Ack=305 Win=502 Len=4 TSval=2463258217 TSecr=2801586525 [TCP segment of a reassembled PDU]"
"131","21.478853","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=305 Ack=95 Win=509 Len=0 TSval=2801586526 TSecr=2463258217"
"132","22.476866","172.19.0.6","172.19.0.7","TCP","80","8088  >  48876 [PSH, ACK] Seq=305 Ack=95 Win=509 Len=14 TSval=1216076382 TSecr=2398535984 [TCP segment of a reassembled PDU]"
"133","22.477857","172.19.0.7","172.19.0.8","TCP","80","8088  >  56716 [PSH, ACK] Seq=305 Ack=95 Win=509 Len=14 TSval=2801587525 TSecr=2463258217 [TCP segment of a reassembled PDU]"
"134","22.478046","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=95 Ack=319 Win=502 Len=4 TSval=2398536984 TSecr=1216076382 [TCP segment of a reassembled PDU]"
"135","22.478162","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=319 Ack=99 Win=509 Len=0 TSval=1216076384 TSecr=2398536984"
"136","22.479500","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=95 Ack=319 Win=502 Len=4 TSval=2463259218 TSecr=2801587525 [TCP segment of a reassembled PDU]"
"137","22.479527","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=319 Ack=99 Win=509 Len=0 TSval=2801587527 TSecr=2463259218"
"138","23.477657","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=319 Ack=99 Win=509 Len=15 TSval=1216077383 TSecr=2398536984"
"139","23.478108","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=319 Ack=99 Win=509 Len=15 TSval=2801588526 TSecr=2463259218"
"140","23.478264","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=99 Ack=334 Win=502 Len=4 TSval=2398537984 TSecr=1216077383 [TCP segment of a reassembled PDU]"
"141","23.478449","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=334 Ack=103 Win=509 Len=0 TSval=1216077384 TSecr=2398537984"
"142","23.479022","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=99 Ack=334 Win=502 Len=4 TSval=2463260218 TSecr=2801588526 [TCP segment of a reassembled PDU]"
"143","23.479044","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=334 Ack=103 Win=509 Len=0 TSval=2801588527 TSecr=2463260218"
"144","24.478429","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=334 Ack=103 Win=509 Len=15 TSval=1216078384 TSecr=2398537984"
"145","24.479850","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=334 Ack=103 Win=509 Len=15 TSval=2801589527 TSecr=2463260218"
"146","24.480027","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=103 Ack=349 Win=502 Len=4 TSval=2398538986 TSecr=1216078384 [TCP segment of a reassembled PDU]"
"147","24.480195","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=349 Ack=107 Win=509 Len=0 TSval=1216078386 TSecr=2398538986"
"148","24.481222","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=103 Ack=349 Win=502 Len=4 TSval=2463261220 TSecr=2801589527 [TCP segment of a reassembled PDU]"
"149","24.481247","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=349 Ack=107 Win=509 Len=0 TSval=2801589529 TSecr=2463261220"
"150","25.480329","172.19.0.6","172.19.0.7","TCP","81","8088  >  48876 [PSH, ACK] Seq=349 Ack=107 Win=509 Len=15 TSval=1216079386 TSecr=2398538986"
"151","25.480680","172.19.0.7","172.19.0.8","TCP","81","8088  >  56716 [PSH, ACK] Seq=349 Ack=107 Win=509 Len=15 TSval=2801590528 TSecr=2463261220"
"152","25.480813","172.19.0.7","172.19.0.6","TCP","70","48876  >  8088 [PSH, ACK] Seq=107 Ack=364 Win=502 Len=4 TSval=2398539986 TSecr=1216079386 [TCP segment of a reassembled PDU]"
"153","25.480944","172.19.0.6","172.19.0.7","TCP","66","8088  >  48876 [ACK] Seq=364 Ack=111 Win=509 Len=0 TSval=1216079386 TSecr=2398539986"
"154","25.481301","172.19.0.8","172.19.0.7","TCP","70","56716  >  8088 [PSH, ACK] Seq=107 Ack=364 Win=502 Len=4 TSval=2463262220 TSecr=2801590528 [TCP segment of a reassembled PDU]"
"155","25.481322","172.19.0.7","172.19.0.8","TCP","66","8088  >  56716 [ACK] Seq=364 Ack=111 Win=509 Len=0 TSval=2801590529 TSecr=2463262220"
