frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,76,172.19.0.4,172.19.0.5,3,1,a0,3838,1
0.000075000,66,172.19.0.5,172.19.0.4,,,,,
0.000350000,76,172.19.0.5,172.19.0.6,3,1,a0,3838,1
0.000510000,66,172.19.0.6,172.19.0.5,,,,,
0.000561000,70,172.19.0.5,172.19.0.4,4,,,,1
0.000657000,66,172.19.0.4,172.19.0.5,,,,,
0.000910000,70,172.19.0.6,172.19.0.5,4,,,,1
0.000936000,66,172.19.0.5,172.19.0.6,,,,,
1.003875000,76,172.19.0.4,172.19.0.5,3,1,a0,3133,2
1.003937000,66,172.19.0.5,172.19.0.4,,,,,
1.005217000,76,172.19.0.5,172.19.0.6,3,1,a0,3133,2
1.005333000,66,172.19.0.6,172.19.0.5,,,,,
1.005375000,70,172.19.0.5,172.19.0.4,4,,,,2
1.005424000,66,172.19.0.4,172.19.0.5,,,,,
1.006443000,70,172.19.0.6,172.19.0.5,4,,,,2
1.006466000,66,172.19.0.5,172.19.0.6,,,,,
2.002369000,76,172.19.0.4,172.19.0.5,3,1,a0,3938,3
2.002457000,66,172.19.0.5,172.19.0.4,,,,,
2.003071000,76,172.19.0.5,172.19.0.6,3,1,a0,3938,3
2.003215000,70,172.19.0.5,172.19.0.4,4,,,,3
2.003323000,66,172.19.0.4,172.19.0.5,,,,,
2.003689000,70,172.19.0.6,172.19.0.5,4,,,,3
2.003714000,66,172.19.0.5,172.19.0.6,,,,,
3.002254000,76,172.19.0.4,172.19.0.5,3,1,a0,3332,4
3.002618000,76,172.19.0.5,172.19.0.6,3,1,a0,3332,4
3.002749000,70,172.19.0.5,172.19.0.4,4,,,,4
3.002847000,66,172.19.0.4,172.19.0.5,,,,,
3.003137000,70,172.19.0.6,172.19.0.5,4,,,,4
3.003159000,66,172.19.0.5,172.19.0.6,,,,,
4.003385000,76,172.19.0.4,172.19.0.5,3,1,a0,3732,5
4.003881000,76,172.19.0.5,172.19.0.6,3,1,a0,3732,5
4.004103000,70,172.19.0.5,172.19.0.4,4,,,,5
4.004287000,66,172.19.0.4,172.19.0.5,,,,,
4.004847000,70,172.19.0.6,172.19.0.5,4,,,,5
4.004869000,66,172.19.0.5,172.19.0.6,,,,,
5.004405000,76,172.19.0.4,172.19.0.5,3,1,a0,3632,6
5.004994000,76,172.19.0.5,172.19.0.6,3,1,a0,3632,6
5.005207000,70,172.19.0.5,172.19.0.4,4,,,,6
5.005295000,66,172.19.0.4,172.19.0.5,,,,,
5.005623000,70,172.19.0.6,172.19.0.5,4,,,,6
5.005645000,66,172.19.0.5,172.19.0.6,,,,,
6.012301000,76,172.19.0.4,172.19.0.5,3,1,a0,3239,7
6.012599000,76,172.19.0.5,172.19.0.6,3,1,a0,3239,7
6.012803000,70,172.19.0.5,172.19.0.4,4,,,,7
6.012890000,66,172.19.0.4,172.19.0.5,,,,,
6.015606000,70,172.19.0.6,172.19.0.5,4,,,,7
6.015630000,66,172.19.0.5,172.19.0.6,,,,,
7.011681000,76,172.19.0.4,172.19.0.5,3,1,a0,3537,8
7.012632000,76,172.19.0.5,172.19.0.6,3,1,a0,3537,8
7.012778000,70,172.19.0.5,172.19.0.4,4,,,,8
7.012853000,66,172.19.0.4,172.19.0.5,,,,,
7.013563000,70,172.19.0.6,172.19.0.5,4,,,,8
7.013588000,66,172.19.0.5,172.19.0.6,,,,,
8.008854000,76,172.19.0.4,172.19.0.5,3,1,a0,3733,9
8.009230000,76,172.19.0.5,172.19.0.6,3,1,a0,3733,9
8.009320000,70,172.19.0.5,172.19.0.4,4,,,,9
8.009427000,66,172.19.0.4,172.19.0.5,,,,,
8.009654000,70,172.19.0.6,172.19.0.5,4,,,,9
8.009679000,66,172.19.0.5,172.19.0.6,,,,,
9.008472000,76,172.19.0.4,172.19.0.5,3,1,a0,3237,10
9.008815000,76,172.19.0.5,172.19.0.6,3,1,a0,3237,10
9.008924000,70,172.19.0.5,172.19.0.4,4,,,,10
9.008989000,66,172.19.0.4,172.19.0.5,,,,,
9.009381000,70,172.19.0.6,172.19.0.5,4,,,,10
9.009406000,66,172.19.0.5,172.19.0.6,,,,,
10.009294000,76,172.19.0.4,172.19.0.5,3,1,a0,3539,11
10.009449000,76,172.19.0.5,172.19.0.6,3,1,a0,3539,11
10.009671000,70,172.19.0.5,172.19.0.4,4,,,,11
10.009726000,66,172.19.0.4,172.19.0.5,,,,,
10.010014000,70,172.19.0.6,172.19.0.5,4,,,,11
10.010037000,66,172.19.0.5,172.19.0.6,,,,,
11.011319000,76,172.19.0.4,172.19.0.5,3,1,a0,3839,12
11.011467000,76,172.19.0.5,172.19.0.6,3,1,a0,3839,12
11.011572000,70,172.19.0.5,172.19.0.4,4,,,,12
11.011621000,66,172.19.0.4,172.19.0.5,,,,,
11.011867000,70,172.19.0.6,172.19.0.5,4,,,,12
11.011891000,66,172.19.0.5,172.19.0.6,,,,,
12.012414000,76,172.19.0.4,172.19.0.5,3,1,a0,3530,13
12.012806000,76,172.19.0.5,172.19.0.6,3,1,a0,3530,13
12.012906000,70,172.19.0.5,172.19.0.4,4,,,,13
12.012989000,66,172.19.0.4,172.19.0.5,,,,,
12.013320000,70,172.19.0.6,172.19.0.5,4,,,,13
12.013342000,66,172.19.0.5,172.19.0.6,,,,,
13.012998000,76,172.19.0.4,172.19.0.5,3,1,a0,3437,14
13.013142000,76,172.19.0.5,172.19.0.6,3,1,a0,3437,14
13.013287000,70,172.19.0.5,172.19.0.4,4,,,,14
13.013371000,66,172.19.0.4,172.19.0.5,,,,,
13.013664000,70,172.19.0.6,172.19.0.5,4,,,,14
13.013688000,66,172.19.0.5,172.19.0.6,,,,,
14.013559000,76,172.19.0.4,172.19.0.5,3,1,a0,3335,15
14.013975000,76,172.19.0.5,172.19.0.6,3,1,a0,3335,15
14.014113000,70,172.19.0.5,172.19.0.4,4,,,,15
14.014164000,66,172.19.0.4,172.19.0.5,,,,,
14.014448000,70,172.19.0.6,172.19.0.5,4,,,,15
14.014470000,66,172.19.0.5,172.19.0.6,,,,,
15.016533000,76,172.19.0.4,172.19.0.5,3,1,a0,3935,16
15.017085000,76,172.19.0.5,172.19.0.6,3,1,a0,3935,16
15.017277000,70,172.19.0.5,172.19.0.4,4,,,,16
15.017363000,66,172.19.0.4,172.19.0.5,,,,,
15.017752000,70,172.19.0.6,172.19.0.5,4,,,,16
15.017794000,66,172.19.0.5,172.19.0.6,,,,,
16.020443000,76,172.19.0.4,172.19.0.5,3,1,a0,3631,17
16.020588000,76,172.19.0.5,172.19.0.6,3,1,a0,3631,17
16.020700000,70,172.19.0.5,172.19.0.4,4,,,,17
16.020747000,66,172.19.0.4,172.19.0.5,,,,,
16.020953000,70,172.19.0.6,172.19.0.5,4,,,,17
16.020977000,66,172.19.0.5,172.19.0.6,,,,,
17.017461000,76,172.19.0.4,172.19.0.5,3,1,a0,3934,18
17.017834000,76,172.19.0.5,172.19.0.6,3,1,a0,3934,18
17.018038000,70,172.19.0.5,172.19.0.4,4,,,,18
17.018095000,66,172.19.0.4,172.19.0.5,,,,,
17.018372000,70,172.19.0.6,172.19.0.5,4,,,,18
17.018395000,66,172.19.0.5,172.19.0.6,,,,,
18.019633000,76,172.19.0.4,172.19.0.5,3,1,a0,3538,19
18.020486000,76,172.19.0.5,172.19.0.6,3,1,a0,3538,19
18.020614000,70,172.19.0.5,172.19.0.4,4,,,,19
18.020669000,66,172.19.0.4,172.19.0.5,,,,,
18.020995000,70,172.19.0.6,172.19.0.5,4,,,,19
18.021019000,66,172.19.0.5,172.19.0.6,,,,,
19.019112000,76,172.19.0.4,172.19.0.5,3,1,a0,3836,20
19.019499000,76,172.19.0.5,172.19.0.6,3,1,a0,3836,20
19.019640000,70,172.19.0.5,172.19.0.4,4,,,,20
19.019709000,66,172.19.0.4,172.19.0.5,,,,,
19.019980000,70,172.19.0.6,172.19.0.5,4,,,,20
19.020003000,66,172.19.0.5,172.19.0.6,,,,,
20.022900000,76,172.19.0.4,172.19.0.5,3,1,a0,3233,21
20.023110000,76,172.19.0.5,172.19.0.6,3,1,a0,3233,21
20.023231000,70,172.19.0.5,172.19.0.4,4,,,,21
20.023280000,66,172.19.0.4,172.19.0.5,,,,,
20.023651000,70,172.19.0.6,172.19.0.5,4,,,,21
20.023672000,66,172.19.0.5,172.19.0.6,,,,,
21.023549000,75,172.19.0.4,172.19.0.5,3,1,a0,31,22
21.023959000,75,172.19.0.5,172.19.0.6,3,1,a0,31,22
21.024056000,70,172.19.0.5,172.19.0.4,4,,,,22
21.024100000,66,172.19.0.4,172.19.0.5,,,,,
21.024424000,70,172.19.0.6,172.19.0.5,4,,,,22
21.024444000,66,172.19.0.5,172.19.0.6,,,,,
22.025268000,76,172.19.0.4,172.19.0.5,3,1,a0,3636,23
22.026114000,76,172.19.0.5,172.19.0.6,3,1,a0,3636,23
22.026238000,70,172.19.0.5,172.19.0.4,4,,,,23
22.026367000,66,172.19.0.4,172.19.0.5,,,,,
22.026929000,70,172.19.0.6,172.19.0.5,4,,,,23
22.026972000,66,172.19.0.5,172.19.0.6,,,,,
23.025475000,76,172.19.0.4,172.19.0.5,3,1,a0,3537,24
23.026157000,76,172.19.0.5,172.19.0.6,3,1,a0,3537,24
23.026300000,70,172.19.0.5,172.19.0.4,4,,,,24
23.026363000,66,172.19.0.4,172.19.0.5,,,,,
23.026911000,70,172.19.0.6,172.19.0.5,4,,,,24
23.026948000,66,172.19.0.5,172.19.0.6,,,,,
24.024450000,76,172.19.0.4,172.19.0.5,3,1,a0,3839,25
24.024976000,76,172.19.0.5,172.19.0.6,3,1,a0,3839,25
24.025089000,70,172.19.0.5,172.19.0.4,4,,,,25
24.025169000,66,172.19.0.4,172.19.0.5,,,,,
24.025733000,70,172.19.0.6,172.19.0.5,4,,,,25
24.025757000,66,172.19.0.5,172.19.0.6,,,,,
25.030943000,76,172.19.0.4,172.19.0.5,3,1,a0,3431,26
25.031498000,76,172.19.0.5,172.19.0.6,3,1,a0,3431,26
25.031805000,70,172.19.0.5,172.19.0.4,4,,,,26
25.031929000,66,172.19.0.4,172.19.0.5,,,,,
25.032680000,70,172.19.0.6,172.19.0.5,4,,,,26
25.032703000,66,172.19.0.5,172.19.0.6,,,,,
26.027386000,76,172.19.0.4,172.19.0.5,3,1,a0,3538,27
26.027976000,76,172.19.0.5,172.19.0.6,3,1,a0,3538,27
26.028123000,70,172.19.0.5,172.19.0.4,4,,,,27
26.028196000,66,172.19.0.4,172.19.0.5,,,,,
26.028890000,70,172.19.0.6,172.19.0.5,4,,,,27
26.028914000,66,172.19.0.5,172.19.0.6,,,,,
27.027529000,76,172.19.0.4,172.19.0.5,3,1,a0,3236,28
27.027894000,76,172.19.0.5,172.19.0.6,3,1,a0,3236,28
27.027999000,70,172.19.0.5,172.19.0.4,4,,,,28
27.028060000,66,172.19.0.4,172.19.0.5,,,,,
27.028398000,70,172.19.0.6,172.19.0.5,4,,,,28
27.028422000,66,172.19.0.5,172.19.0.6,,,,,
28.028447000,76,172.19.0.4,172.19.0.5,3,1,a0,3537,29
28.028791000,76,172.19.0.5,172.19.0.6,3,1,a0,3537,29
28.028925000,70,172.19.0.5,172.19.0.4,4,,,,29
28.029019000,66,172.19.0.4,172.19.0.5,,,,,
28.029299000,70,172.19.0.6,172.19.0.5,4,,,,29
28.029322000,66,172.19.0.5,172.19.0.6,,,,,
29.029284000,76,172.19.0.4,172.19.0.5,3,1,a0,3334,30
29.029593000,76,172.19.0.5,172.19.0.6,3,1,a0,3334,30
29.029729000,70,172.19.0.5,172.19.0.4,4,,,,30
29.029816000,66,172.19.0.4,172.19.0.5,,,,,
29.030174000,70,172.19.0.6,172.19.0.5,4,,,,30
29.030198000,66,172.19.0.5,172.19.0.6,,,,,
30.034285000,76,172.19.0.4,172.19.0.5,3,1,a0,3639,31
30.035469000,76,172.19.0.5,172.19.0.6,3,1,a0,3639,31
30.035635000,70,172.19.0.5,172.19.0.4,4,,,,31
30.035688000,66,172.19.0.4,172.19.0.5,,,,,
30.035980000,70,172.19.0.6,172.19.0.5,4,,,,31
30.036002000,66,172.19.0.5,172.19.0.6,,,,,
31.035080000,76,172.19.0.4,172.19.0.5,3,1,a0,3435,32
31.035429000,76,172.19.0.5,172.19.0.6,3,1,a0,3435,32
31.035526000,70,172.19.0.5,172.19.0.4,4,,,,32
31.035615000,66,172.19.0.4,172.19.0.5,,,,,
31.036104000,70,172.19.0.6,172.19.0.5,4,,,,32
31.036128000,66,172.19.0.5,172.19.0.6,,,,,
32.035056000,76,172.19.0.4,172.19.0.5,3,1,a0,3939,33
32.035472000,76,172.19.0.5,172.19.0.6,3,1,a0,3939,33
32.035577000,70,172.19.0.5,172.19.0.4,4,,,,33
32.035676000,66,172.19.0.4,172.19.0.5,,,,,
32.036001000,70,172.19.0.6,172.19.0.5,4,,,,33
32.036025000,66,172.19.0.5,172.19.0.6,,,,,
33.033914000,76,172.19.0.4,172.19.0.5,3,1,a0,3139,34
33.034312000,76,172.19.0.5,172.19.0.6,3,1,a0,3139,34
33.034419000,70,172.19.0.5,172.19.0.4,4,,,,34
33.034641000,66,172.19.0.4,172.19.0.5,,,,,
33.035212000,70,172.19.0.6,172.19.0.5,4,,,,34
33.035236000,66,172.19.0.5,172.19.0.6,,,,,
34.035346000,76,172.19.0.4,172.19.0.5,3,1,a0,3239,35
34.035898000,76,172.19.0.5,172.19.0.6,3,1,a0,3239,35
34.036056000,70,172.19.0.5,172.19.0.4,4,,,,35
34.036152000,66,172.19.0.4,172.19.0.5,,,,,
34.036304000,70,172.19.0.6,172.19.0.5,4,,,,35
34.036327000,66,172.19.0.5,172.19.0.6,,,,,
35.036291000,76,172.19.0.4,172.19.0.5,3,1,a0,3233,36
35.036642000,76,172.19.0.5,172.19.0.6,3,1,a0,3233,36
35.036768000,70,172.19.0.5,172.19.0.4,4,,,,36
35.036856000,66,172.19.0.4,172.19.0.5,,,,,
35.037178000,70,172.19.0.6,172.19.0.5,4,,,,36
35.037201000,66,172.19.0.5,172.19.0.6,,,,,
36.042381000,76,172.19.0.4,172.19.0.5,3,1,a0,3832,37
36.042677000,76,172.19.0.5,172.19.0.6,3,1,a0,3832,37
36.042780000,70,172.19.0.5,172.19.0.4,4,,,,37
36.042829000,66,172.19.0.4,172.19.0.5,,,,,
36.043138000,70,172.19.0.6,172.19.0.5,4,,,,37
36.043162000,66,172.19.0.5,172.19.0.6,,,,,
37.040812000,76,172.19.0.4,172.19.0.5,3,1,a0,3539,38
37.041214000,76,172.19.0.5,172.19.0.6,3,1,a0,3539,38
37.041320000,70,172.19.0.5,172.19.0.4,4,,,,38
37.041374000,66,172.19.0.4,172.19.0.5,,,,,
37.041692000,70,172.19.0.6,172.19.0.5,4,,,,38
37.041716000,66,172.19.0.5,172.19.0.6,,,,,
38.040475000,76,172.19.0.4,172.19.0.5,3,1,a0,3830,39
38.040922000,76,172.19.0.5,172.19.0.6,3,1,a0,3830,39
38.041352000,70,172.19.0.6,172.19.0.5,4,,,,39
38.041375000,66,172.19.0.5,172.19.0.6,,,,,
38.041691000,70,172.19.0.5,172.19.0.4,4,,,,39
38.041834000,66,172.19.0.4,172.19.0.5,,,,,
39.040449000,76,172.19.0.4,172.19.0.5,3,1,a0,3535,40
39.040941000,76,172.19.0.5,172.19.0.6,3,1,a0,3535,40
39.041037000,70,172.19.0.5,172.19.0.4,4,,,,40
39.041168000,66,172.19.0.4,172.19.0.5,,,,,
39.041469000,70,172.19.0.6,172.19.0.5,4,,,,40
39.041494000,66,172.19.0.5,172.19.0.6,,,,,
40.042213000,76,172.19.0.4,172.19.0.5,3,1,a0,3836,41
40.042551000,76,172.19.0.5,172.19.0.6,3,1,a0,3836,41
40.042679000,70,172.19.0.5,172.19.0.4,4,,,,41
40.042742000,66,172.19.0.4,172.19.0.5,,,,,
40.043098000,70,172.19.0.6,172.19.0.5,4,,,,41
40.043133000,66,172.19.0.5,172.19.0.6,,,,,
41.042196000,76,172.19.0.4,172.19.0.5,3,1,a0,3430,42
41.043155000,76,172.19.0.5,172.19.0.6,3,1,a0,3430,42
41.043465000,70,172.19.0.5,172.19.0.4,4,,,,42
41.043641000,66,172.19.0.4,172.19.0.5,,,,,
41.043879000,70,172.19.0.6,172.19.0.5,4,,,,42
41.043901000,66,172.19.0.5,172.19.0.6,,,,,
42.043350000,76,172.19.0.4,172.19.0.5,3,1,a0,3937,43
42.043695000,76,172.19.0.5,172.19.0.6,3,1,a0,3937,43
42.043822000,70,172.19.0.5,172.19.0.4,4,,,,43
42.043874000,66,172.19.0.4,172.19.0.5,,,,,
42.044127000,70,172.19.0.6,172.19.0.5,4,,,,43
