"No.","Time","Source","Destination","Protocol","Length","Info"
"35","40.625150","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=21 Ack=82 Win=65152 Len=4 TSval=1728605768 TSecr=3504552637 [TCP segment of a reassembled PDU]"
"36","40.625271","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=82 Ack=25 Win=64256 Len=0 TSval=3504552637 TSecr=1728605768"
"37","40.625670","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=82 Ack=25 Win=64256 Len=4 TSval=3504552638 TSecr=1728605768 [TCP segment of a reassembled PDU]"
"38","40.626003","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=23 Ack=3 Win=509 Len=10 TSval=2488286727 TSecr=2826614036 [TCP segment of a reassembled PDU]"
"39","40.626182","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=33 Win=502 Len=0 TSval=2826615036 TSecr=2488286727"
"40","40.626225","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=25 Ack=86 Win=65152 Len=4 TSval=1728605769 TSecr=3504552638 [TCP segment of a reassembled PDU]"
"41","40.626315","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=86 Ack=29 Win=64256 Len=0 TSval=3504552638 TSecr=1728605769"
"42","41.625663","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=86 Ack=29 Win=64256 Len=12 TSval=3504553638 TSecr=1728605769"
"43","41.625829","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=29 Ack=98 Win=65152 Len=4 TSval=1728606769 TSecr=3504553638 [TCP segment of a reassembled PDU]"
"44","41.625916","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=98 Ack=33 Win=64256 Len=0 TSval=3504553638 TSecr=1728606769"
"45","41.626245","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=98 Ack=33 Win=64256 Len=4 TSval=3504553638 TSecr=1728606769 [TCP segment of a reassembled PDU]"
"46","41.626587","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=33 Ack=3 Win=509 Len=10 TSval=2488287728 TSecr=2826615036 [TCP segment of a reassembled PDU]"
"47","41.626725","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=43 Win=502 Len=0 TSval=2826616037 TSecr=2488287728"
"48","41.626762","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=33 Ack=102 Win=65152 Len=4 TSval=1728606770 TSecr=3504553638 [TCP segment of a reassembled PDU]"
"49","41.626832","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=102 Ack=37 Win=64256 Len=0 TSval=3504553639 TSecr=1728606770"
"50","42.627058","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=102 Ack=37 Win=64256 Len=12 TSval=3504554639 TSecr=1728606770"
"51","42.627419","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=37 Ack=114 Win=65152 Len=4 TSval=1728607770 TSecr=3504554639 [TCP segment of a reassembled PDU]"
"52","42.627510","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=114 Ack=41 Win=64256 Len=0 TSval=3504554639 TSecr=1728607770"
"53","42.627872","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=114 Ack=41 Win=64256 Len=4 TSval=3504554640 TSecr=1728607770 [TCP segment of a reassembled PDU]"
"54","42.628315","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=43 Ack=3 Win=509 Len=10 TSval=2488288729 TSecr=2826616037 [TCP segment of a reassembled PDU]"
"55","42.628468","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=53 Win=502 Len=0 TSval=2826617038 TSecr=2488288729"
"56","42.628509","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=41 Ack=118 Win=65152 Len=4 TSval=1728607771 TSecr=3504554640 [TCP segment of a reassembled PDU]"
