frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,76,172.19.0.6,172.19.0.7,3,1,a0,3135,1
0.000121000,66,172.19.0.7,172.19.0.6,,,,,
0.000320000,76,172.19.0.7,172.19.0.8,3,1,a0,3135,1
0.000442000,66,172.19.0.8,172.19.0.7,,,,,
0.000510000,70,172.19.0.7,172.19.0.6,4,,,,1
0.000670000,66,172.19.0.6,172.19.0.7,,,,,
0.000877000,70,172.19.0.8,172.19.0.7,4,,,,1
0.000912000,66,172.19.0.7,172.19.0.8,,,,,
1.000443000,76,172.19.0.6,172.19.0.7,3,1,a0,3237,2
1.000516000,66,172.19.0.7,172.19.0.6,,,,,
1.000820000,76,172.19.0.7,172.19.0.8,3,1,a0,3237,2
1.000936000,66,172.19.0.8,172.19.0.7,,,,,
1.001126000,70,172.19.0.7,172.19.0.6,4,,,,2
1.001194000,70,172.19.0.8,172.19.0.7,4,,,,2
1.001222000,66,172.19.0.7,172.19.0.8,,,,,
1.001285000,66,172.19.0.6,172.19.0.7,,,,,
2.000367000,76,172.19.0.6,172.19.0.7,3,1,a0,3436,3
2.000453000,66,172.19.0.7,172.19.0.6,,,,,
2.000684000,76,172.19.0.7,172.19.0.8,3,1,a0,3436,3
2.000786000,66,172.19.0.8,172.19.0.7,,,,,
2.000829000,70,172.19.0.7,172.19.0.6,4,,,,3
2.000931000,66,172.19.0.6,172.19.0.7,,,,,
2.001053000,70,172.19.0.8,172.19.0.7,4,,,,3
2.001076000,66,172.19.0.7,172.19.0.8,,,,,
3.001385000,76,172.19.0.6,172.19.0.7,3,1,a0,3236,4
3.001538000,76,172.19.0.7,172.19.0.8,3,1,a0,3236,4
3.001684000,70,172.19.0.7,172.19.0.6,4,,,,4
3.001747000,66,172.19.0.6,172.19.0.7,,,,,
3.002066000,70,172.19.0.8,172.19.0.7,4,,,,4
3.002091000,66,172.19.0.7,172.19.0.8,,,,,
4.003297000,76,172.19.0.6,172.19.0.7,3,1,a0,3831,5
4.003679000,76,172.19.0.7,172.19.0.8,3,1,a0,3831,5
4.003813000,70,172.19.0.7,172.19.0.6,4,,,,5
4.003900000,70,172.19.0.8,172.19.0.7,4,,,,5
4.003930000,66,172.19.0.6,172.19.0.7,,,,,
4.003992000,66,172.19.0.7,172.19.0.8,,,,,
5.006310000,75,172.19.0.6,172.19.0.7,3,1,a0,35,6
5.006832000,75,172.19.0.7,172.19.0.8,3,1,a0,35,6
5.006946000,70,172.19.0.7,172.19.0.6,4,,,,6
5.007048000,66,172.19.0.6,172.19.0.7,,,,,
5.007329000,70,172.19.0.8,172.19.0.7,4,,,,6
5.007353000,66,172.19.0.7,172.19.0.8,,,,,
6.005699000,76,172.19.0.6,172.19.0.7,3,1,a0,3431,7
6.006145000,76,172.19.0.7,172.19.0.8,3,1,a0,3431,7
6.006256000,70,172.19.0.7,172.19.0.6,4,,,,7
6.006353000,66,172.19.0.6,172.19.0.7,,,,,
6.006535000,70,172.19.0.8,172.19.0.7,4,,,,7
6.006557000,66,172.19.0.7,172.19.0.8,,,,,
7.007039000,76,172.19.0.6,172.19.0.7,3,1,a0,3434,8
7.007316000,76,172.19.0.7,172.19.0.8,3,1,a0,3434,8
7.007428000,70,172.19.0.7,172.19.0.6,4,,,,8
7.007527000,66,172.19.0.6,172.19.0.7,,,,,
7.007546000,70,172.19.0.8,172.19.0.7,4,,,,8
7.007569000,66,172.19.0.7,172.19.0.8,,,,,
8.007333000,76,172.19.0.6,172.19.0.7,3,1,a0,3337,9
8.007867000,76,172.19.0.7,172.19.0.8,3,1,a0,3337,9
8.008022000,70,172.19.0.7,172.19.0.6,4,,,,9
8.008112000,66,172.19.0.6,172.19.0.7,,,,,
8.008386000,70,172.19.0.8,172.19.0.7,4,,,,9
8.008415000,66,172.19.0.7,172.19.0.8,,,,,
9.006681000,76,172.19.0.6,172.19.0.7,3,1,a0,3837,10
9.007050000,76,172.19.0.7,172.19.0.8,3,1,a0,3837,10
9.007193000,70,172.19.0.7,172.19.0.6,4,,,,10
9.007289000,66,172.19.0.6,172.19.0.7,,,,,
9.007442000,70,172.19.0.8,172.19.0.7,4,,,,10
9.007470000,66,172.19.0.7,172.19.0.8,,,,,
10.007484000,76,172.19.0.6,172.19.0.7,3,1,a0,3332,11
10.007838000,76,172.19.0.7,172.19.0.8,3,1,a0,3332,11
10.007963000,70,172.19.0.7,172.19.0.6,4,,,,11
10.008064000,66,172.19.0.6,172.19.0.7,,,,,
10.008232000,70,172.19.0.8,172.19.0.7,4,,,,11
10.008256000,66,172.19.0.7,172.19.0.8,,,,,
11.008586000,76,172.19.0.6,172.19.0.7,3,1,a0,3834,12
11.008918000,76,172.19.0.7,172.19.0.8,3,1,a0,3834,12
11.009296000,70,172.19.0.7,172.19.0.6,4,,,,12
11.009406000,66,172.19.0.6,172.19.0.7,,,,,
11.009431000,70,172.19.0.8,172.19.0.7,4,,,,12
11.009456000,66,172.19.0.7,172.19.0.8,,,,,
12.009737000,76,172.19.0.6,172.19.0.7,3,1,a0,3237,13
12.010116000,76,172.19.0.7,172.19.0.8,3,1,a0,3237,13
12.010278000,70,172.19.0.7,172.19.0.6,4,,,,13
12.010435000,66,172.19.0.6,172.19.0.7,,,,,
12.010589000,70,172.19.0.8,172.19.0.7,4,,,,13
12.010612000,66,172.19.0.7,172.19.0.8,,,,,
